NAME	URL	ID	SIZE	COLOR	Y	X
Woodbury Clay Co.	http://railroad.newtfire.org/companies/woodbury-clay.html	00	126	C2	40.406643	-78.249547
Thomas H. Sant &amp; Sons Co.	http://railroad.newtfire.org/companies/thomas-sant.html	01	17	C2	40.406643	-78.249547
Bittner, Hunsicker &amp; Co.	http://railroad.newtfire.org/companies/bittner-hunsicker.html	02	1	C1	40.603236	-75.472063
Fate-Root-Heath Co. (Plymouth Locomotive Works)	http://railroad.newtfire.org/companies/plymouth-loco-works.html	03	1	C1	40.991516	-82.668826
Comly-Flanigan &amp; Co.	http://railroad.newtfire.org/companies/comly-flanigan.html	04	1	C1	39.948962	-75.142459
Lippincott &amp; Co.	http://railroad.newtfire.org/companies/lippincott.html	05	1	C1	40.517909	-78.396745
Reeves, Parvin &amp; Co.	http://railroad.newtfire.org/companies/reeves-parvin.html	06	1	C1	40.225556	-74.766389
Dean Coal Co. Fruhlinger Colliery No. 1	http://railroad.newtfire.org/companies/fruhlinger.html	07	2	C1	40.59	-78.47
Dean Coal Co. Unknown	http://railroad.newtfire.org/companies/fruhlinger.html	30	1	C1	40.759229	-78.532698
Western Wheeled Scraper Co.	http://railroad.newtfire.org/companies/western-wheeled-scraper.html	08	1	C1	41.76876	-88.279521
Penna. Coal &amp; Coke Co. Penna. Coll. No. 10	http://railroad.newtfire.org/companies/penna-coal-coke-co.html	09	1	C1	40.37114	-78.781889
Butler Bros. Co.	http://railroad.newtfire.org/companies/butler-bros.html	10	3	C1	40.720069	-74.037815
Atlas Powder Co.	http://railroad.newtfire.org/companies/atlas-powder.html	11	1	C1	40.452354	-78.289294
Daniel Miller Co.	http://railroad.newtfire.org/companies/daniel-miller.html	12	2	C1	39.283969	-76.602458
Gorman-Rupp Co.	http://railroad.newtfire.org/companies/gorman-rupp.html	13	2	C1	40.767799	-82.529648
Penn General Supply Co.	http://railroad.newtfire.org/companies/penn-general-supply.html	14	2	C1	40.438732	-80.004089
Thew Shovel Co./Universal Crane Co.	http://railroad.newtfire.org/companies/thew-universal.html	15	5	C1	41.444706	-82.153521
American Fork &amp; Hoe Co. Skelton Shovel Works	http://railroad.newtfire.org/companies/skelton-shovel-works.html	16	1	C1	42.471763	-79.340763
Frick-Reid Supply Corp.	http://railroad.newtfire.org/companies/frick-reid-supply.html	17	2	C1	40.448379	-80.002486
M.B.&amp; A.H. Christy	http://railroad.newtfire.org/companies/m-b-a-h-christy.html	18	1	C1	40.225556	-74.766389
Burton-Dixie Corp.	http://railroad.newtfire.org/companies/burton-dixie.html	19	1	C1	40.704691	-73.983472
Mishawaka Rubber &amp; Woolen Mfg. Co.	http://railroad.newtfire.org/companies/mishawaka.html	20	1	C1	41.664244	-86.18507
Brown Shoe Co.	http://railroad.newtfire.org/companies/brown-shoe.html	21	2	C1	38.632813	-90.203253
A. M. Byers Co.	http://railroad.newtfire.org/companies/a-m-byers.html	22	1	C0	40.614506	-80.228187
Bethlehem Steel Co. Lackawanna Plant	http://railroad.newtfire.org/companies/bethlehem-steel.html	23	2	C0	42.803930	-78.852972
Bethlehem Steel Co. Sparrows Point Plant	http://railroad.newtfire.org/companies/bethlehem-steel.html	24	4	C0	39.226037	-76.486403
Bowers Pottery Co.	http://railroad.newtfire.org/companies/bowers-pottery.html	25	2	C0	39.524295	-80.333478
Canadian Porcelain Co.	http://railroad.newtfire.org/companies/canadian-porcelain.html	26	1	C0	43.25013	-79.905796
Carnegie-Illinois Steel Co. Mingo Works (Carnegie Steel)	http://railroad.newtfire.org/companies/carnegie-illinois.html	27	5	C0	40.315171	-80.604985
Carnegie-Illinois Steel Co. Edgar Thompson Works (Carnegie Steel)	http://railroad.newtfire.org/companies/carnegie-illinois.html	28	2	C0	40.393528	-79.856622
Carnegie-Illinois Steel Co. South Works (Illinois Steel)	http://railroad.newtfire.org/companies/carnegie-illinois.html	29	1	C0	41.736515	-87.534911
General Refractories Co. Sproul	http://railroad.newtfire.org/companies/general-refractories.html	31	3	C0	40.270995	-78.462515
General Refractories Co. Joliet	http://railroad.newtfire.org/companies/general-refractories.html	32	2	C0	41.559823	-88.086481
Harbison-Walker Refractory Co. East Chicago	http://railroad.newtfire.org/companies/harbison-walker.html	33	1	C0	41.613347	-87.458934
Harbison-Walker Refractory Co. Ensley	http://railroad.newtfire.org/companies/harbison-walker.html	34	1	C0	33.490673	-86.922338
Harbison-Walker Refractory Co. No. 8 Works	http://railroad.newtfire.org/companies/harbison-walker.html	35	10	C0	40.994326	-78.354409
Harbison-Walker Refractory Co. Mount Union	http://railroad.newtfire.org/companies/harbison-walker.html	36	8	C0	40.386672	-77.889052
Harbison-Walker Refractory Co. Retort Works	http://railroad.newtfire.org/companies/harbison-walker.html	37	19	C0	40.816343	-78.234921
Harbison-Walker Refractory Co. Lower Works	http://railroad.newtfire.org/companies/harbison-walker.html	38	4	C0	40.998246	-78.362575
Harbison-Walker Refractory Co. Barrett Works	http://railroad.newtfire.org/companies/harbison-walker.html	39	14	C0	41.005131	-78.386104
Lapp Insulator Co.	http://railroad.newtfire.org/companies/lapp-insulator.html	40	1	C0	42.969445	-78.007936
Locke Insulator Co.	http://railroad.newtfire.org/companies/locke-insulator.html	41	7	C0	39.261637	-76.613635
McFeely Brick Co.	http://railroad.newtfire.org/companies/mcfeely-brick.html	42	2	C0	40.326659	-79.370897
National Tube Co. Lorain Works	http://railroad.newtfire.org/companies/national-tube.html	43	3	C0	41.446635	-82.120072
North American Refractory Co.	http://railroad.newtfire.org/companies/north-am-refractory.html	44	7	C0	40.382397	-77.874752
Peter S. Duncan	http://railroad.newtfire.org/companies/peter-s-duncan.html	45	2	C2	40.406643	-78.249547
Smith &amp; Stone, Ltd.	http://railroad.newtfire.org/companies/smith-stone.html	46	2	C0	43.659301	-79.925455
Taylor, Smith &amp; Taylor	http://railroad.newtfire.org/companies/taylor-smith-taylor.html	47	2	C0	40.618036	-80.558837
United Clay Mines Corp.	http://railroad.newtfire.org/companies/united-clay-mines.html	48	1	C0	40.234185	-74.774596
Victor Insulators, Inc.	http://railroad.newtfire.org/companies/victor-insulator.html	49	1	C0	42.975845	-77.412379
Wheeling Steel Corp. Benwood Works	http://railroad.newtfire.org/companies/wheeling-steel.html	50	1	C0	40.004142	-80.736088
Youngstown Sheet &amp; Tube Co. Campbell Works Converting Mills	http://railroad.newtfire.org/companies/youngstown-sheet-tube.html	51	3	C0	41.07102	-80.603077
